----------------------------------------------------------------------------------------------------
Make Directory dblp/Gaussian_GCNConv in Logs
[91mSep27-08:47:28[0m
----------------------------------------------------------------------------------------------------
[dblp]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.005 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0 cat=False skip=False
nhid=16 layers=2 linears=2
----------------------------------------------------------------------------------------------------
[EPOCH 21501] | train acc: 9.530e-01 | val acc: 8.565e-01 | test acc: 6.647e-01
[EPOCH 21601] | train acc: 9.525e-01 | val acc: 8.794e-01 | test acc: 6.845e-01
[EPOCH 21701] | train acc: 9.479e-01 | val acc: 8.726e-01 | test acc: 7.123e-01
[EPOCH 21801] | train acc: 9.431e-01 | val acc: 8.786e-01 | test acc: 7.576e-01
[EPOCH 21901] | train acc: 9.556e-01 | val acc: 8.718e-01 | test acc: 7.371e-01
[EPOCH 22001] | train acc: 9.530e-01 | val acc: 8.799e-01 | test acc: 7.268e-01
[EPOCH 22101] | train acc: 9.551e-01 | val acc: 8.673e-01 | test acc: 7.438e-01
[EPOCH 22201] | train acc: 9.556e-01 | val acc: 8.803e-01 | test acc: 7.319e-01
[EPOCH 22301] | train acc: 9.524e-01 | val acc: 8.824e-01 | test acc: 7.123e-01
[EPOCH 22401] | train acc: 9.544e-01 | val acc: 8.769e-01 | test acc: 7.510e-01
[EPOCH 22501] | train acc: 9.531e-01 | val acc: 8.780e-01 | test acc: 7.658e-01
[EPOCH 22601] | train acc: 9.462e-01 | val acc: 8.754e-01 | test acc: 7.639e-01
[EPOCH 22701] | train acc: 9.498e-01 | val acc: 8.673e-01 | test acc: 7.562e-01
[EPOCH 22801] | train acc: 9.451e-01 | val acc: 8.773e-01 | test acc: 7.946e-01
[EPOCH 22901] | train acc: 9.568e-01 | val acc: 8.652e-01 | test acc: 7.084e-01
[EPOCH 23001] | train acc: 9.541e-01 | val acc: 8.814e-01 | test acc: 7.630e-01
[EPOCH 23101] | train acc: 9.491e-01 | val acc: 8.769e-01 | test acc: 7.796e-01
[EPOCH 23201] | train acc: 9.565e-01 | val acc: 8.682e-01 | test acc: 7.365e-01
[EPOCH 23301] | train acc: 9.555e-01 | val acc: 8.728e-01 | test acc: 7.335e-01
[EPOCH 23401] | train acc: 9.454e-01 | val acc: 8.656e-01 | test acc: 6.722e-01
[EPOCH 23501] | train acc: 9.539e-01 | val acc: 8.794e-01 | test acc: 7.348e-01
[EPOCH 23601] | train acc: 9.539e-01 | val acc: 8.807e-01 | test acc: 6.604e-01
[EPOCH 23701] | train acc: 9.553e-01 | val acc: 8.786e-01 | test acc: 7.173e-01
[EPOCH 23801] | train acc: 9.396e-01 | val acc: 8.714e-01 | test acc: 6.954e-01
[EPOCH 23901] | train acc: 9.513e-01 | val acc: 8.805e-01 | test acc: 7.285e-01
[EPOCH 24001] | train acc: 9.567e-01 | val acc: 8.743e-01 | test acc: 6.912e-01
[EPOCH 24101] | train acc: 9.538e-01 | val acc: 8.762e-01 | test acc: 7.010e-01
[EPOCH 24201] | train acc: 9.558e-01 | val acc: 8.756e-01 | test acc: 6.464e-01
[EPOCH 24301] | train acc: 9.568e-01 | val acc: 8.750e-01 | test acc: 6.996e-01
[EPOCH 24401] | train acc: 9.587e-01 | val acc: 8.673e-01 | test acc: 6.889e-01
[EPOCH 24501] | train acc: 9.578e-01 | val acc: 8.762e-01 | test acc: 7.715e-01
[EPOCH 24601] | train acc: 9.567e-01 | val acc: 8.797e-01 | test acc: 7.188e-01
[EPOCH 24701] | train acc: 9.570e-01 | val acc: 8.665e-01 | test acc: 6.411e-01
[EPOCH 24801] | train acc: 9.575e-01 | val acc: 8.737e-01 | test acc: 6.962e-01
[EPOCH 24901] | train acc: 9.575e-01 | val acc: 8.731e-01 | test acc: 6.476e-01
[EPOCH 25001] | train acc: 9.535e-01 | val acc: 8.777e-01 | test acc: 6.434e-01
[EPOCH 25101] | train acc: 9.411e-01 | val acc: 8.788e-01 | test acc: 7.118e-01
[EPOCH 25201] | train acc: 9.545e-01 | val acc: 8.809e-01 | test acc: 7.511e-01
[EPOCH 25301] | train acc: 9.511e-01 | val acc: 8.756e-01 | test acc: 7.338e-01
[EPOCH 25401] | train acc: 9.585e-01 | val acc: 8.794e-01 | test acc: 7.095e-01
[EPOCH 25501] | train acc: 9.595e-01 | val acc: 8.648e-01 | test acc: 6.705e-01
[EPOCH 25601] | train acc: 9.556e-01 | val acc: 8.616e-01 | test acc: 6.132e-01
[EPOCH 25701] | train acc: 9.561e-01 | val acc: 8.788e-01 | test acc: 7.563e-01
[EPOCH 25801] | train acc: 9.425e-01 | val acc: 8.711e-01 | test acc: 8.531e-01
[EPOCH 25901] | train acc: 9.533e-01 | val acc: 8.809e-01 | test acc: 8.622e-01
